sampling_percentage,nominal_sampling_ratio,actual_sampling_ratio,retained_measurements_M,method,route_id,case_file,completion_status,rmse_normalized,rmse_gray_levels,tutorial_nrmse_relative_l2,psnr_section8_db,ssim_section8,psnr_plot_included,ssim_dynamic_range,metric_input_scale_divisor,clipping_applied,per_method_normalization_applied,benchmark_psnr_actual_reference_range_db,benchmark_ssim_actual_reference_range,source_reconstruction_hash_or_case_hash,omission_reason
25,0.25,0.25,4096,FDRI,fdri_cpu,c037.mat,completed,0.048861468603744289,12.459674493954793,0.093437057456475722,26.220669676061696,0.83492863197144218,True,1,255,False,False,26.273012078150401,0.83581496188778803,00c24b02b48108115b24c54af4cd28031962b7780496eea9b49ba3ca3cffc974,
30,0.29999999999999999,0.29998779296875,4915,FDRI,fdri_cpu,c045.mat,completed,0.04403647385841216,11.229300833895101,0.084210291988107366,27.123749273180913,0.86025134121143687,True,1,255,False,False,27.1760916752696,0.86103815679206097,57fcaf4af17050f56178beb5ae5dbcb890feb0d73e0edc6c2410cb9f3f1c8b46,
35,0.34999999999999998,0.3499755859375,5734,FDRI,fdri_cpu,c053.mat,completed,0.039559012054907888,10.087548074001511,0.075648108579622092,28.055091259828579,0.87596257819709655,True,1,255,False,False,28.107433661917302,0.87669171245347199,b492a44931d7a62b0cf9fd0e5a814374c207963fda2951edcd97ba1bf11f2cf0,
40,0.40000000000000002,0.4000244140625,6554,FDRI,fdri_cpu,c061.mat,completed,0.035558070674288185,9.0673080219434876,0.067997168066706221,28.981236224138549,0.89136796647968664,True,1,255,False,False,29.0335786262272,0.892061845246649,0ce3cd5b37c3be029e2aec557429fcbd4237c8d6c75000180989e27a8f2d9350,
45,0.45000000000000001,0.45001220703125,7373,FDRI,fdri_cpu,c069.mat,completed,0.031922603853464675,8.1402639826334919,0.061045119102046831,29.91803382946491,0.91042617111735114,True,1,255,False,False,29.970376231553601,0.9109135176216,b243fbf0f0dac11247fa06a2adfe83a9f596ba534216afee4d892cbfd33becbc,
50,0.5,0.5,8192,FDRI,fdri_cpu,c077.mat,completed,0.028649095435138397,7.305519335960291,0.054785237790497994,30.857781717373168,0.92577620958433449,True,1,255,False,False,30.910124119461901,0.92615562922734795,41fd54719a3a959e0f2eb27fe653c686577ac7f4248e0de52d76e129c67b97d4,
55,0.55000000000000004,0.54998779296875,9011,FDRI,fdri_cpu,c085.mat,completed,0.025335107084685695,6.4604523065948518,0.04844794730865578,31.925545114468523,0.94102391700320265,True,1,255,False,False,31.9778875165572,0.941305446336831,25c84177df2fa5c913937af26384e217f178b86e92470eaa2fd4c9cc84e8435e,
60,0.59999999999999998,0.5999755859375,9830,FDRI,fdri_cpu,c093.mat,completed,0.022685609819547176,5.78483050398453,0.043381353215850474,32.884990836485088,0.95255710274263983,True,1,255,False,False,32.9373332385738,0.95277233115429805,58b860d52f62a37e881ef7dcbec8b36e5a520554b7c9f106a7d75524daf043d2,
65,0.65000000000000002,0.6500244140625,10650,FDRI,fdri_cpu,c101.mat,completed,0.019720505584534736,5.0287289240563577,0.037711228623032438,34.1016391005139,0.9628509448163961,True,1,255,False,False,34.153981502602598,0.96300417492490298,7ae8d5cb49725bfff81bd740ed0f7568ad639173d83876f46b2bff0023603002,
70,0.69999999999999996,0.70001220703125,11469,FDRI,fdri_cpu,c109.mat,completed,0.017292413961548129,4.409565560194773,0.03306802523660779,35.242887529545222,0.97113478659373265,True,1,255,False,False,35.295229931633898,0.97125958374691401,5d5ba7e54a31e466ae56518b046cc3cc26f9dde5f7c0395b28f5e144608c18ea,
75,0.75,0.75,12288,FDRI,fdri_cpu,c117.mat,completed,0.014900316575322909,3.799580726707342,0.028493653092151135,36.53609008751922,0.97735689206997711,True,1,255,False,False,36.588432489607897,0.97747659275783905,6996db7fa842a2e8153e31f4cca7a3e8fe5d7b2b3eaeddfe6f929c9b88ae8788,
80,0.80000000000000004,0.79998779296875,13107,FDRI,fdri_cpu,c125.mat,completed,0.012535644683961358,3.1965893944101462,0.023971726312366819,38.03706652412346,0.98366209929934989,True,1,255,False,False,38.089408926212201,0.983758483374918,d7eb2023a7545c284840618a36b2c9ebcf61e4535a463eff10fa78050082b91d,
85,0.84999999999999998,0.8499755859375,13926,FDRI,fdri_cpu,c133.mat,completed,0.010269923664988486,2.6188305345720639,0.019639021809623111,39.768655688906399,0.98875633525431073,True,1,255,False,False,39.820998090995097,0.98882444422439397,7c93e8f04ab8650557f6130b4190a1ead0d641f237927a6143344171066204cb,
90,0.90000000000000002,0.9000244140625,14746,FDRI,fdri_cpu,c141.mat,completed,0.00734772439852289,1.8736697216233369,0.01405094374806657,42.676942835145539,0.9933135828093187,True,1,255,False,False,42.729285237234201,0.99335572926852,4e4a6747dd6bfdefd90408f075658b05dd6db0667ba667c7e864be5d657f161f,
95,0.94999999999999996,0.95001220703125,15565,FDRI,fdri_cpu,c149.mat,completed,0.0046044151635918386,1.1741258667159189,0.008804954424988987,46.736510490036366,0.99686472548153215,True,1,255,False,False,46.788852892125,0.99688572305242895,5f994f4dfc7e03d697acd042013b9b75d1f9ae505937b611540eb5d1c2905e70,
100,1,1,16384,FDRI,fdri_cpu,c157.mat,skipped_empirical_resource_limit,,,,,,False,1,255,False,False,,,7da3d46ddfa0e2c550caffc64581955ee31e1f10c82e0d98e33ecd87cba19398,FDRI at 100% was omitted because the approved v05.3 progressive test completed through 95% and produced MATLAB:nomem at 100% on this target computer.
5,0.050000000000000003,0.04998779296875,819,DCT-l1,bpdn_dct_l1magic_cpu,c006.mat,completed,0.082014365602014042,20.913663228513581,0.15683484778483625,21.722201402264616,0.54283947067531302,True,1,255,False,False,21.7745438043533,0.54416862434487701,9121193da06af48d84fcda03aa90438161cd58cd368b1481b4ca3e53a7a2ffb7,
10,0.10000000000000001,0.0999755859375,1638,DCT-l1,bpdn_dct_l1magic_cpu,c014.mat,completed,0.068850448511638823,17.556864370467899,0.13166168552275445,23.241864525571692,0.62200125644400972,True,1,255,False,False,23.294206927660401,0.62301101592572306,cec5086175cb21d3e40a23eee657acc614392359e4933cb4f1ad648e15658d6e,
15,0.14999999999999999,0.1500244140625,2458,DCT-l1,bpdn_dct_l1magic_cpu,c022.mat,completed,0.058470511849307481,14.909980521573408,0.11181228749957448,24.661262086874359,0.6961357108501165,True,1,255,False,False,24.713604488963,0.69687784678904596,4b2806ea4bc14e2fd105d6816e32e32698fb6737d66ee0a9f9c70b98ec60d063,
20,0.20000000000000001,0.20001220703125,3277,DCT-l1,bpdn_dct_l1magic_cpu,c030.mat,completed,0.052944394448716403,13.500820584422684,0.10124477563746292,25.523600291436491,0.71442255527331966,True,1,255,False,False,25.575942693525199,0.71533783337637202,0e7303ec9fd347fc85543506d721e8c9dc7faac66d6c7fe0f73a5a0f23df5fb2,
25,0.25,0.25,4096,DCT-l1,bpdn_dct_l1magic_cpu,c038.mat,completed,0.048100943486949342,12.265740589172083,0.091982716621750657,26.35692809948501,0.73948133196882493,True,1,255,False,False,26.409270501573701,0.74037241346350502,23fb6d8474b8e4caaca48ed7432023c31ea9df59766df51eee2a3a6472f7eb4f,
30,0.29999999999999999,0.29998779296875,4915,DCT-l1,bpdn_dct_l1magic_cpu,c046.mat,completed,0.043368778796398721,11.059038593081674,0.082933468682227993,27.256456135974435,0.76998638662314922,True,1,255,False,False,27.308798538063101,0.77106970548521003,1ca47274ab21425594c119c949a03283dea01efbbab6ff5c95304588c4f5e04f,
35,0.34999999999999998,0.3499755859375,5734,DCT-l1,bpdn_dct_l1magic_cpu,c054.mat,completed,0.03899711049754144,9.9442631768730667,0.074573592614367037,28.17935141919461,0.79016985396723549,True,1,255,False,False,28.231693821283301,0.79115308486063496,7a8018d86bb24e25db9147a49790ee05a44ae5d1b6e24680181ddcefa102061e,
40,0.40000000000000002,0.4000244140625,6554,DCT-l1,bpdn_dct_l1magic_cpu,c062.mat,completed,0.034502706181883919,8.7981900763803988,0.065979010292653045,29.242936803597061,0.82739097580716947,True,1,255,False,False,29.295279205685699,0.82828940899042103,532dc8112160d98ed91962236a0738153797ed42d508e8c36bd8a8d75fa1916a,
45,0.45000000000000001,0.45001220703125,7373,DCT-l1,bpdn_dct_l1magic_cpu,c070.mat,completed,0.031110234189941976,7.9331097184352037,0.059491636714072683,30.141934392408572,0.84853028845392564,True,1,255,False,False,30.194276794497299,0.849191566773974,b55ef5872b5dbb20205b00b28c3e42ee267c91090bd247a6fff136094a9f6bde,
50,0.5,0.5,8192,DCT-l1,bpdn_dct_l1magic_cpu,c078.mat,completed,0.028326025273001182,7.2231364446153012,0.054167435539262045,30.956287233987943,0.8685444162344087,True,1,255,False,False,31.008629636076599,0.86915854781560598,28edae518d9778741b2455f8b1ec9acd47321d9eab5e30776168db2cddeb1d90,
55,0.55000000000000004,0.54998779296875,9011,DCT-l1,bpdn_dct_l1magic_cpu,c086.mat,completed,0.025268271504141675,6.4434092335561273,0.048320138625088098,31.948489306348815,0.89035948256300224,True,1,255,False,False,32.000831708437502,0.89070366781588395,aaf2347f1b5c0b0000cf26bb6eba603a8b539d08a967bfd059f40a91f8522ff6,
60,0.59999999999999998,0.5999755859375,9830,DCT-l1,bpdn_dct_l1magic_cpu,c094.mat,completed,0.022695097317013715,5.7872498158384973,0.043399496015713662,32.881359013080996,0.90385217187275213,True,1,255,False,False,32.933701415169701,0.90430297229505396,3c2e4c5129eb3918e703fe828cbed076d8b347c212dd4687b52b896d068abe4b,
65,0.65000000000000002,0.6500244140625,10650,DCT-l1,bpdn_dct_l1magic_cpu,c102.mat,completed,0.01984226465013111,5.0597774857834334,0.037944066667673276,34.048175243508688,0.92158569683459945,True,1,255,False,False,34.1005176455974,0.92183326790495101,7bae9d9af14f90f4fade521dac65cabe52321aee499dd91a9ae8afaa8272b877,
70,0.69999999999999996,0.70001220703125,11469,DCT-l1,bpdn_dct_l1magic_cpu,c110.mat,completed,0.017351668602645171,4.4246754936745187,0.03318133700276954,35.213175109016163,0.94009519671616437,True,1,255,False,False,35.265517511104797,0.94041189620402998,8f3ea4f37aa53d6595c39820a56bf86749bb88e2695abdb42c8f5610b6a4fcf7,
75,0.75,0.75,12288,DCT-l1,bpdn_dct_l1magic_cpu,c118.mat,completed,0.014685143659931201,3.7447116332824564,0.028082181136169202,36.662436011206026,0.95520855212737987,True,1,255,False,False,36.714778413294702,0.95550490500052099,37e33feccb8341482f3ca1d02034eb2d574933df7e6b61888d2f155265f659e9,
80,0.80000000000000004,0.79998779296875,13107,DCT-l1,bpdn_dct_l1magic_cpu,c126.mat,completed,0.012966696067780635,3.3065074972840618,0.024796019442875152,37.743413373184367,0.96166610391980689,True,1,255,False,False,37.795755775273101,0.96191544693620201,b0956a7b7bd58b1dbf5580fed59f26f023d357636a7348535d530e1a009257c2,
85,0.84999999999999998,0.8499755859375,13926,DCT-l1,bpdn_dct_l1magic_cpu,c134.mat,completed,0.0097028569505670775,2.4742285223946046,0.018554628591589791,40.262007427703139,0.97710672641345386,True,1,255,False,False,40.314349829791801,0.97728415999222396,9e04a0d6a9bd6df95933f1972be21e749eaad8a8351d6f08cc2f43584b474d35,
90,0.90000000000000002,0.9000244140625,14746,DCT-l1,bpdn_dct_l1magic_cpu,c142.mat,completed,0.0069574461577865208,1.7741487702355627,0.013304620490789322,43.151002917892576,0.98744019119295623,True,1,255,False,False,43.203345319981302,0.98754485151957005,83325b9853f4fd948d8b3d1ca870c76f81489efd9baa2838e330ca44d226f0d9,
95,0.94999999999999996,0.95001220703125,15565,DCT-l1,bpdn_dct_l1magic_cpu,c150.mat,completed,0.0042711571968752186,1.0891450852031808,0.0081676701870456569,47.389088887646352,0.99598550354626225,True,1,255,False,False,47.441431289735,0.99601693464398799,838778f358753cfdb8a74503544e8ff68d37905aeeecc98cc996322f7949cd76,
100,1,1,16384,DCT-l1,bpdn_dct_l1magic_cpu,c158.mat,completed,5.2293458220562543e-05,0.013334831846243449,9.9999999999551525e-05,85.631052737533579,0.99999942109433193,False,1,255,False,False,85.683395139622306,0.999999426659407,7fd1d71b71140afbe39a69427d5c78ce476158c51ed5bcad68246ca1d916a1fc,
5,0.050000000000000003,0.04998779296875,819,TVAL3,tval3_cpu,c007.mat,completed,0.082130512186394833,20.943280607530681,0.15705695316538001,21.709909375906808,0.71385852878306189,True,1,255,False,False,21.762251777995498,0.71459776065657499,fdf25be952a17e2e70cafecde8b6c0a64585e9a809b9f1c31d6a3ed1a70491a9,
10,0.10000000000000001,0.0999755859375,1638,TVAL3,tval3_cpu,c015.mat,completed,0.066790934596659857,17.031688322148263,0.12772330778861579,23.505649589357095,0.80584560359096713,True,1,255,False,False,23.5579919914458,0.80636356667666498,0e97a8a2dd78e65720d3ec0db7d835dd485a53c687bce998fc710d3d901eb008,
